Estrategia,Recomendacion,Confianza,DiasValidos,DiasGanadores,DiasPerdedores,WinRate%,LossRate%,GananciaTotal%,GananciaPromedioDiaria%,GananciaMaximaDia%,PerdidaMaximaDia%,MaxConsecutivoGanador,MaxConsecutivoPerdedor,VolatilidadGanancias%,SharpeRatio,MaxDrawdown%,ConsistenciaScore
LONG BTCUSDT/SHORT PEPEUSDT,BUY,68.44,100,60,40,60.00,40.00,42.20,0.42,20.23,-9.95,8,3,3.73,0.11,18.96,62.7
LONG BTCUSDT/SHORT XLMUSDT,BUY,67.19,100,63,37,63.00,37.00,20.94,0.21,8.59,-6.15,6,4,2.18,0.10,10.95,78.2
LONG ETHUSDT/SHORT ARBUSDT,BUY,66.40,100,58,42,58.00,42.00,42.00,0.42,16.81,-9.54,5,5,3.10,0.14,19.35,69.0
LONG ETHUSDT/SHORT INJUSDT,BUY,65.84,100,59,41,59.00,41.00,34.22,0.34,16.91,-17.68,6,5,3.64,0.09,21.99,63.6
LONG ETHUSDT/SHORT DYDXUSDT,BUY,64.40,100,56,44,56.00,44.00,42.02,0.42,28.14,-10.79,7,5,4.45,0.09,28.68,55.5
LONG ETHUSDT/SHORT SUIUSDT,BUY,63.50,100,58,42,58.00,42.00,27.49,0.27,11.23,-13.98,4,3,2.90,0.09,13.98,71.0
LONG ETHUSDT/SHORT CRVUSDT,HOLD,60.31,100,57,43,57.00,43.00,16.57,0.17,19.33,-11.79,5,4,3.90,0.04,21.93,61.0
LONG ETHUSDT/SHORT LDOUSDT,BUY,59.46,100,55,45,55.00,45.00,22.32,0.22,16.28,-9.65,4,3,3.58,0.06,19.10,64.2
LONG ETHUSDT/SHORT APTUSDT,HOLD,58.93,100,52,48,52.00,48.00,34.66,0.35,14.47,-11.70,8,4,3.40,0.10,25.18,66.0
LONG ETHUSDT/SHORT CAKEUSDT,SELL,56.19,100,52,48,52.00,48.00,-40.93,-0.41,11.38,-20.82,6,5,5.20,-0.08,67.03,48.0
LONG ETHUSDT/SHORT OPUSDT,HOLD,55.93,100,50,50,50.00,50.00,29.66,0.30,17.28,-12.44,4,5,3.64,0.08,27.34,63.6
LONG ETHUSDT/SHORT DOTUSDT,HOLD,53.54,100,52,48,52.00,48.00,7.72,0.08,15.36,-18.27,6,7,3.27,0.02,30.50,67.3
LONG ETHUSDT/SHORT GMXUSDT,HOLD,52.94,100,51,49,51.00,49.00,9.68,0.10,16.55,-15.23,6,7,3.30,0.03,29.01,67.0
LONG LINKUSDT/SHORT GMXUSDT,SELL,49.38,100,51,49,51.00,49.00,-1.89,-0.02,8.40,-15.05,4,5,3.14,-0.01,31.45,68.6
LONG ETHUSDT/SHORT XRPUSDT,SELL,43.47,100,57,43,57.00,43.00,-2.36,-0.02,4.68,-7.19,6,5,1.99,-0.01,23.87,80.1
