Par,Recomendacion,Confianza,DiasValidos,CorrelacionInversa%,DiasOpuestos%,TokenA_Supera%,TokenB_Supera%,DiferenciaPromedio%,CoeficienteCorrelacion,VolatilidadA%,VolatilidadB%,MaxConsecutivoInverso,ConsistenciaScore
ARBUSDT/OPUSDT,NO_CORRELATION,96.00,200,4.00,10.50,54.00,46.00,0.23,0.914,5.78,5.39,1,76.5
BTCUSDT/DOTUSDT,WEAK_INVERSE,16.50,200,16.50,24.00,54.50,45.50,0.11,0.726,2.02,3.71,3,73.7
