Estrategia,Recomendacion,Confianza,DiasValidos,DiasGanadores,DiasPerdedores,WinRate%,LossRate%,GananciaTotal%,GananciaPromedioDiaria%,GananciaMaximaDia%,PerdidaMaximaDia%,MaxConsecutivoGanador,MaxConsecutivoPerdedor,VolatilidadGanancias%,SharpeRatio,MaxDrawdown%,ConsistenciaScore
LONG ETHUSDT/SHORT DYDXUSDT,BUY,69.63,100,61,39,61.00,39.00,43.13,0.43,6.43,-6.36,7,5,2.63,0.16,17.43,73.7
LONG ETHUSDT/SHORT APTUSDT,BUY,68.98,100,59,41,59.00,41.00,49.92,0.50,8.95,-5.73,7,4,2.57,0.19,25.18,74.3
LONG ETHUSDT/SHORT INJUSDT,BUY,66.64,100,59,41,59.00,41.00,38.20,0.38,6.70,-6.79,8,5,2.71,0.14,12.02,72.9
LONG ETHUSDT/SHORT GMXUSDT,BUY,66.13,100,57,43,57.00,43.00,45.65,0.46,20.45,-29.65,7,6,5.04,0.09,36.69,49.6
LONG ETHUSDT/SHORT ARBUSDT,BUY,65.68,100,60,40,60.00,40.00,28.38,0.28,6.91,-16.14,5,3,3.09,0.09,25.45,69.1
LONG ETHUSDT/SHORT XRPUSDT,BUY,63.64,100,57,43,57.00,43.00,33.19,0.33,8.09,-11.47,7,5,2.73,0.12,15.91,72.7
LONG ETHUSDT/SHORT DOTUSDT,BUY,62.65,100,55,45,55.00,45.00,38.23,0.38,6.48,-4.97,6,7,2.07,0.18,16.08,79.3
LONG LINKUSDT/SHORT GMXUSDT,HOLD,62.35,100,54,46,54.00,46.00,41.73,0.42,16.58,-25.61,4,4,4.94,0.08,35.18,50.6
LONG ETHUSDT/SHORT CAKEUSDT,HOLD,60.59,100,60,40,60.00,40.00,2.96,0.03,9.19,-20.82,8,5,4.51,0.01,67.03,54.9
LONG ETHUSDT/SHORT SUIUSDT,HOLD,60.44,100,54,46,54.00,46.00,32.20,0.32,11.32,-10.04,7,4,2.87,0.11,18.00,71.3
LONG BTCUSDT/SHORT PEPEUSDT,HOLD,59.65,100,58,42,58.00,42.00,8.27,0.08,9.16,-8.01,8,4,3.43,0.02,33.18,65.7
LONG ETHUSDT/SHORT OPUSDT,HOLD,58.14,100,53,47,53.00,47.00,25.71,0.26,10.71,-7.60,4,4,3.00,0.09,17.67,70.0
LONG ETHUSDT/SHORT CRVUSDT,HOLD,58.10,100,55,45,55.00,45.00,15.50,0.16,10.29,-14.24,9,5,3.53,0.04,44.71,64.7
LONG ETHUSDT/SHORT LDOUSDT,HOLD,53.38,100,53,47,53.00,47.00,1.88,0.02,7.12,-12.04,4,6,3.56,0.01,36.12,64.4
LONG BTCUSDT/SHORT XLMUSDT,SELL,53.23,100,56,44,56.00,44.00,-46.17,-0.46,8.42,-18.36,6,6,3.88,-0.12,72.07,61.2
