Estrategia,Recomendacion,Confianza,DiasValidos,DiasGanadores,DiasPerdedores,WinRate%,LossRate%,GananciaTotal%,GananciaPromedioDiaria%,GananciaMaximaDia%,PerdidaMaximaDia%,MaxConsecutivoGanador,MaxConsecutivoPerdedor,VolatilidadGanancias%,SharpeRatio,MaxDrawdown%,ConsistenciaScore
LONG ETHUSDT/SHORT ARBUSDT,BUY,65.32,100,59,41,59.00,41.00,31.59,0.32,16.81,-9.54,5,5,3.14,0.10,19.35,68.6
LONG ETHUSDT/SHORT DOTUSDT,BUY,62.25,100,57,43,57.00,43.00,26.27,0.26,15.36,-18.27,6,5,3.57,0.07,30.50,64.3
LONG BTCUSDT/SHORT PEPEUSDT,HOLD,60.50,100,60,40,60.00,40.00,2.51,0.03,20.23,-20.61,6,4,5.24,0.00,65.26,47.6
LONG ETHUSDT/SHORT CAKEUSDT,BUY,60.41,100,55,45,55.00,45.00,27.07,0.27,11.38,-18.26,6,3,3.57,0.08,28.92,64.3
LONG ETHUSDT/SHORT OPUSDT,HOLD,59.54,100,53,47,53.00,47.00,32.72,0.33,17.28,-12.44,4,5,3.86,0.08,27.34,61.4
LONG ETHUSDT/SHORT GMXUSDT,HOLD,57.90,100,53,47,53.00,47.00,24.52,0.25,16.55,-8.91,4,7,2.62,0.09,20.90,73.8
LONG ETHUSDT/SHORT LDOUSDT,HOLD,57.78,100,53,47,53.00,47.00,23.88,0.24,16.28,-9.65,4,5,3.32,0.07,19.10,66.8
LONG LINKUSDT/SHORT GMXUSDT,HOLD,54.17,100,52,48,52.00,48.00,10.85,0.11,8.40,-7.38,7,6,2.44,0.04,22.12,75.6
