Estrategia,Recomendacion,Confianza,DiasValidos,DiasGanadores,DiasPerdedores,WinRate%,LossRate%,GananciaTotal%,GananciaPromedioDiaria%,GananciaMaximaDia%,PerdidaMaximaDia%,MaxConsecutivoGanador,MaxConsecutivoPerdedor,VolatilidadGanancias%,SharpeRatio,MaxDrawdown%,ConsistenciaScore
LONG BTCUSDT/SHORT PEPEUSDT,BUY,67.99,100,60,40,60.00,40.00,39.94,0.40,20.23,-9.95,8,3,3.89,0.10,18.96,61.1
LONG ETHUSDT/SHORT ARBUSDT,BUY,66.48,100,58,42,58.00,42.00,42.42,0.42,16.81,-9.54,5,5,3.08,0.14,19.35,69.2
LONG ETHUSDT/SHORT LDOUSDT,HOLD,58.68,100,54,46,54.00,46.00,23.38,0.23,16.28,-9.65,4,3,3.62,0.06,19.10,63.8
LONG ETHUSDT/SHORT OPUSDT,HOLD,57.91,100,51,49,51.00,49.00,34.54,0.35,17.28,-12.44,4,5,3.63,0.10,27.34,63.7
LONG ETHUSDT/SHORT DOTUSDT,HOLD,57.30,100,54,46,54.00,46.00,16.52,0.17,15.36,-18.27,6,7,3.26,0.05,30.50,67.4
LONG ETHUSDT/SHORT CAKEUSDT,SELL,55.36,100,53,47,53.00,47.00,-41.80,-0.42,11.38,-20.82,6,5,5.20,-0.08,67.03,48.0
LONG ETHUSDT/SHORT GMXUSDT,HOLD,53.34,100,51,49,51.00,49.00,11.68,0.12,16.55,-15.23,6,7,3.29,0.04,29.01,67.1
LONG LINKUSDT/SHORT GMXUSDT,SELL,48.75,100,52,48,52.00,48.00,-3.77,-0.04,8.40,-15.05,4,5,3.12,-0.01,31.45,68.8
