Estrategia,Recomendacion,Confianza,DiasValidos,DiasGanadores,DiasPerdedores,WinRate%,LossRate%,GananciaTotal%,GananciaPromedioDiaria%,GananciaMaximaDia%,PerdidaMaximaDia%,MaxConsecutivoGanador,MaxConsecutivoPerdedor,VolatilidadGanancias%,SharpeRatio,MaxDrawdown%,ConsistenciaScore
LONG ETHUSDT/SHORT INJUSDT,BUY,70.72,60,38,22,63.33,36.67,22.15,0.37,6.18,-6.79,8,5,2.88,0.13,12.02,71.2
LONG ETHUSDT/SHORT CRVUSDT,BUY,69.50,60,35,25,58.33,41.67,33.51,0.56,10.29,-8.37,9,4,3.28,0.17,15.22,67.2
LONG BTCUSDT/SHORT AVAXUSDT,STRONG_SELL,68.48,60,26,34,43.33,56.67,-35.45,-0.59,6.62,-11.48,6,6,3.69,-0.16,52.86,63.1
LONG ETHUSDT/SHORT XRPUSDT,BUY,68.16,60,34,26,56.67,43.33,34.47,0.57,8.09,-4.83,7,5,2.53,0.23,8.77,74.7
LONG ETHUSDT/SHORT DYDXUSDT,BUY,67.04,60,36,24,60.00,40.00,21.11,0.35,5.90,-6.36,7,5,2.79,0.13,13.29,72.1
LONG ETHUSDT/SHORT APTUSDT,BUY,66.27,60,33,27,55.00,45.00,33.80,0.56,8.95,-3.60,5,4,2.37,0.24,8.19,76.3
LONG ETHUSDT/SHORT SUIUSDT,BUY,64.68,60,34,26,56.67,43.33,24.05,0.40,7.77,-5.62,7,3,2.57,0.16,13.97,74.3
LONG BTCUSDT/SHORT XLMUSDT,BUY,63.38,60,35,25,58.33,41.67,15.13,0.25,8.42,-7.66,5,4,2.72,0.09,17.72,72.8
LONG BTCUSDT/SHORT TRXUSDT,STRONG_SELL,61.98,60,25,35,41.67,58.33,-10.95,-0.18,4.64,-5.09,3,7,1.70,-0.11,20.10,83.0
LONG BTCUSDT/SHORT PEPEUSDT,BUY,61.62,60,33,27,55.00,45.00,19.85,0.33,9.16,-7.40,6,4,3.57,0.09,18.96,64.3
LONG ETHUSDT/SHORT ARBUSDT,HOLD,61.39,60,35,25,58.33,41.67,9.18,0.15,6.91,-16.14,5,3,3.54,0.04,25.45,64.6
LONG ETHUSDT/SHORT CAKEUSDT,HOLD,60.54,60,32,28,53.33,46.67,21.63,0.36,5.44,-7.07,8,4,2.37,0.15,11.32,76.3
LONG BTCUSDT/SHORT AAVEUSDT,HOLD,60.29,60,36,24,60.00,40.00,0.88,0.01,5.81,-11.21,6,4,3.58,0.00,36.41,64.2
LONG ETHUSDT/SHORT DOTUSDT,SELL,57.87,60,29,31,48.33,51.67,18.60,0.31,6.48,-4.97,6,7,2.34,0.13,16.34,76.6
LONG BTCUSDT/SHORT FILUSDT,HOLD,56.96,60,32,28,53.33,46.67,10.89,0.18,8.96,-5.34,6,4,2.85,0.06,13.73,71.5
LONG BTCUSDT/SHORT NEARUSDT,SELL,56.93,60,28,32,46.67,53.33,-10.79,-0.18,8.14,-11.89,6,6,3.54,-0.05,30.86,64.6
LONG ETHUSDT/SHORT LDOUSDT,HOLD,55.41,60,32,28,53.33,46.67,6.23,0.10,7.12,-12.04,4,6,3.77,0.03,36.12,62.3
LONG BTCUSDT/SHORT UNIUSDT,HOLD,53.63,60,30,30,50.00,50.00,10.88,0.18,8.21,-8.16,6,4,3.17,0.06,25.87,68.3
LONG BTCUSDT/SHORT ATOMUSDT,HOLD,53.28,60,30,30,50.00,50.00,9.85,0.16,7.00,-5.31,4,4,2.44,0.07,17.07,75.6
LONG BTCUSDT/SHORT TONUSDT,SELL,53.07,60,29,31,48.33,51.67,4.22,0.07,5.77,-5.40,4,4,2.14,0.03,18.04,78.6
LONG BTCUSDT/SHORT ADAUSDT,SELL,52.11,60,30,30,50.00,50.00,-6.32,-0.11,8.69,-7.63,6,4,2.95,-0.04,28.92,70.5
LONG ETHUSDT/SHORT GMXUSDT,HOLD,51.06,60,30,30,50.00,50.00,3.19,0.05,8.90,-29.65,5,6,4.74,0.01,36.69,52.6
LONG BTCUSDT/SHORT DOGEUSDT,SELL,50.18,60,31,29,51.67,48.33,-5.53,-0.09,10.11,-8.08,6,4,3.67,-0.03,42.72,63.3
LONG ETHUSDT/SHORT LINKUSDT,SELL,48.35,60,32,28,53.33,46.67,-5.05,-0.08,6.42,-12.11,7,4,3.06,-0.03,32.85,69.4
LONG ETHUSDT/SHORT SOLUSDT,SELL,47.68,60,32,28,53.33,46.67,-3.03,-0.05,5.62,-5.97,6,4,2.34,-0.02,27.04,76.6
