Par,Recomendacion,Confianza,DiasValidos,CorrelacionInversa%,DiasOpuestos%,TokenA_Supera%,TokenB_Supera%,DiferenciaPromedio%,CoeficienteCorrelacion,VolatilidadA%,VolatilidadB%,MaxConsecutivoInverso,ConsistenciaScore
ARBUSDT/OPUSDT,NO_CORRELATION,96.00,50,4.00,4.00,44.00,56.00,0.12,0.914,6.23,5.07,1,74.0
SOLUSDT/CRVUSDT,NO_CORRELATION,90.00,50,10.00,16.00,68.00,32.00,0.99,0.827,4.04,4.68,1,73.7
