Estrategia,Recomendacion,Confianza,DiasValidos,DiasGanadores,DiasPerdedores,WinRate%,LossRate%,GananciaTotal%,GananciaPromedioDiaria%,GananciaMaximaDia%,PerdidaMaximaDia%,MaxConsecutivoGanador,MaxConsecutivoPerdedor,VolatilidadGanancias%,SharpeRatio,MaxDrawdown%,ConsistenciaScore
LONG ETHUSDT/SHORT APTUSDT,STRONG_BUY,73.23,100,62,38,62.00,38.00,56.14,0.56,8.95,-13.35,10,4,2.62,0.21,16.24,73.8
LONG ETHUSDT/SHORT CAKEUSDT,BUY,68.07,100,59,41,59.00,41.00,45.33,0.45,5.44,-7.07,8,4,2.21,0.21,11.32,77.9
LONG ETHUSDT/SHORT INJUSDT,BUY,67.41,100,60,40,60.00,40.00,37.07,0.37,6.70,-6.79,8,5,2.87,0.13,12.02,71.3
LONG ETHUSDT/SHORT GMXUSDT,BUY,67.00,100,57,43,57.00,43.00,49.99,0.50,20.45,-29.65,7,6,4.59,0.11,36.69,54.1
LONG ETHUSDT/SHORT DYDXUSDT,BUY,65.06,100,59,41,59.00,41.00,30.30,0.30,6.43,-6.36,7,5,2.52,0.12,13.29,74.8
LONG ETHUSDT/SHORT ARBUSDT,HOLD,63.42,100,60,40,60.00,40.00,17.08,0.17,6.91,-16.14,6,4,3.50,0.05,25.45,65.0
LONG ETHUSDT/SHORT SUIUSDT,BUY,63.23,100,56,44,56.00,44.00,36.17,0.36,11.32,-10.04,7,4,3.06,0.12,21.24,69.4
LONG ETHUSDT/SHORT SOLUSDT,HOLD,62.55,100,61,39,61.00,39.00,7.76,0.08,5.62,-7.72,14,4,2.29,0.03,27.04,77.1
LONG BTCUSDT/SHORT AVAXUSDT,SELL,62.12,100,47,53,47.00,53.00,-45.59,-0.46,6.62,-11.48,7,6,3.37,-0.14,68.48,66.3
LONG ETHUSDT/SHORT CRVUSDT,BUY,62.05,100,57,43,57.00,43.00,25.24,0.25,10.29,-14.24,9,5,3.47,0.07,44.71,65.3
LONG BTCUSDT/SHORT NEARUSDT,STRONG_SELL,60.36,100,44,56,44.00,56.00,-21.78,-0.22,8.14,-11.89,6,9,3.41,-0.06,43.94,65.9
LONG BTCUSDT/SHORT AAVEUSDT,HOLD,60.09,100,60,40,60.00,40.00,0.47,0.00,5.81,-11.21,11,4,3.37,0.00,37.02,66.3
LONG ETHUSDT/SHORT DOTUSDT,HOLD,59.36,100,51,49,51.00,49.00,41.80,0.42,6.48,-4.97,6,7,2.10,0.20,16.47,79.0
LONG BTCUSDT/SHORT TRXUSDT,STRONG_SELL,59.04,100,44,56,44.00,56.00,-15.21,-0.15,4.64,-5.09,5,7,1.55,-0.10,23.52,84.5
LONG BTCUSDT/SHORT ADAUSDT,SELL,58.98,100,46,54,46.00,54.00,-24.89,-0.25,8.69,-7.63,7,7,2.82,-0.09,49.89,71.8
LONG BTCUSDT/SHORT DOGEUSDT,SELL,58.01,100,49,51,49.00,51.00,-35.05,-0.35,10.11,-13.88,6,6,3.62,-0.10,59.09,63.8
LONG BTCUSDT/SHORT PEPEUSDT,HOLD,57.28,100,55,45,55.00,45.00,11.41,0.11,9.16,-8.01,6,4,3.74,0.03,36.23,62.6
LONG BTCUSDT/SHORT UNIUSDT,SELL,56.89,100,46,54,46.00,54.00,-14.47,-0.14,8.21,-14.47,6,5,3.78,-0.04,52.66,62.2
LONG ETHUSDT/SHORT LDOUSDT,HOLD,55.44,100,53,47,53.00,47.00,12.22,0.12,7.12,-12.04,4,6,3.40,0.04,36.12,66.0
LONG ETHUSDT/SHORT XRPUSDT,HOLD,54.96,100,51,49,51.00,49.00,19.81,0.20,8.09,-11.47,7,5,2.75,0.07,20.60,72.5
LONG BTCUSDT/SHORT FILUSDT,HOLD,54.83,100,53,47,53.00,47.00,9.13,0.09,8.96,-5.34,6,5,2.71,0.03,20.38,72.9
LONG BTCUSDT/SHORT XLMUSDT,SELL,52.29,100,55,45,55.00,45.00,-36.46,-0.36,8.42,-18.36,7,6,3.87,-0.09,72.07,61.3
LONG BTCUSDT/SHORT TONUSDT,HOLD,51.80,100,50,50,50.00,50.00,9.01,0.09,5.77,-5.40,5,8,2.00,0.04,23.62,80.0
LONG BTCUSDT/SHORT ATOMUSDT,SELL,51.51,100,49,51,49.00,51.00,2.56,0.03,7.00,-5.31,4,7,2.36,0.01,19.95,76.4
LONG ETHUSDT/SHORT LINKUSDT,SELL,48.19,100,52,48,52.00,48.00,-0.96,-0.01,6.42,-12.11,7,4,2.62,-0.00,32.85,73.8
