Estrategia,Recomendacion,Confianza,DiasValidos,DiasGanadores,DiasPerdedores,WinRate%,LossRate%,GananciaTotal%,GananciaPromedioDiaria%,GananciaMaximaDia%,PerdidaMaximaDia%,MaxConsecutivoGanador,MaxConsecutivoPerdedor,VolatilidadGanancias%,SharpeRatio,MaxDrawdown%,ConsistenciaScore
LONG ETHUSDT/SHORT APTUSDT,STRONG_BUY,73.32,100,62,38,62.00,38.00,56.58,0.57,8.95,-13.35,10,4,2.62,0.22,16.24,73.8
LONG ETHUSDT/SHORT CAKEUSDT,BUY,67.99,100,59,41,59.00,41.00,44.96,0.45,5.44,-7.07,8,4,2.21,0.20,11.32,77.9
LONG ETHUSDT/SHORT INJUSDT,BUY,67.51,100,60,40,60.00,40.00,37.54,0.38,6.70,-6.79,8,5,2.88,0.13,12.02,71.2
LONG ETHUSDT/SHORT GMXUSDT,BUY,67.05,100,57,43,57.00,43.00,50.27,0.50,20.45,-29.65,7,6,4.59,0.11,36.69,54.1
LONG LINKUSDT/SHORT GMXUSDT,BUY,65.16,100,55,45,55.00,45.00,50.82,0.51,16.58,-25.61,7,4,4.44,0.11,28.02,55.6
LONG ETHUSDT/SHORT DYDXUSDT,BUY,65.10,100,59,41,59.00,41.00,30.51,0.31,6.43,-6.36,7,5,2.52,0.12,13.29,74.8
LONG ETHUSDT/SHORT ARBUSDT,HOLD,63.46,100,60,40,60.00,40.00,17.30,0.17,6.91,-16.14,6,4,3.50,0.05,25.45,65.0
LONG ETHUSDT/SHORT SUIUSDT,BUY,63.19,100,56,44,56.00,44.00,35.94,0.36,11.32,-10.04,7,4,3.06,0.12,21.24,69.4
LONG ETHUSDT/SHORT CRVUSDT,BUY,62.00,100,57,43,57.00,43.00,25.02,0.25,10.29,-14.24,9,5,3.47,0.07,44.71,65.3
LONG ETHUSDT/SHORT DOTUSDT,HOLD,60.55,100,52,48,52.00,48.00,42.77,0.43,6.48,-4.97,6,7,2.10,0.20,16.08,79.0
LONG ETHUSDT/SHORT OPUSDT,BUY,60.35,100,55,45,55.00,45.00,26.76,0.27,10.71,-7.60,4,4,3.20,0.08,17.67,68.0
LONG BTCUSDT/SHORT PEPEUSDT,HOLD,57.35,100,55,45,55.00,45.00,11.75,0.12,9.16,-8.01,6,4,3.74,0.03,36.23,62.6
LONG ETHUSDT/SHORT LDOUSDT,HOLD,55.60,100,53,47,53.00,47.00,12.98,0.13,7.12,-12.04,4,6,3.40,0.04,36.12,66.0
LONG ETHUSDT/SHORT XRPUSDT,HOLD,54.95,100,51,49,51.00,49.00,19.73,0.20,8.09,-11.47,7,5,2.75,0.07,20.60,72.5
LONG BTCUSDT/SHORT XLMUSDT,SELL,52.30,100,55,45,55.00,45.00,-36.48,-0.36,8.42,-18.36,7,6,3.87,-0.09,72.07,61.3
