Par,Recomendacion,Confianza,DiasValidos,CorrelacionInversa%,DiasOpuestos%,TokenA_Supera%,TokenB_Supera%,DiferenciaPromedio%,CoeficienteCorrelacion,VolatilidadA%,VolatilidadB%,MaxConsecutivoInverso,ConsistenciaScore
SOLUSDT/DOTUSDT,NO_CORRELATION,98.00,50,2.00,8.00,52.00,48.00,0.28,0.881,4.04,3.73,1,80.8
ARBUSDT/OPUSDT,NO_CORRELATION,96.00,50,4.00,4.00,44.00,56.00,0.13,0.914,6.23,5.07,1,74.0
